CS,TINIEE_sol,DINC_sol,RANDOM_sol
0.55,"['S5', 'S6', 'S4']","('S4', 'S6', 'S5')","['S11', 'S12', 'S7']" 
0.6,"['S5', 'S6', 'S4']","('S4', 'S6', 'S5')","['S11', 'S12', 'S7']"
0.65,"['S5', 'S6', 'S4']","('S4', 'S6', 'S5')","['S11', 'S12', 'S7']"
0.7,"['S5', 'S6', 'S4']","('S4', 'S6', 'S5')","['S11', 'S12', 'S7']"
0.75,"['S5', 'S6', 'S4']","('S4', 'S6', 'S5')","['S11', 'S12', 'S7']"
0.8,"['S5', 'S6', 'S4']","('S4', 'S6', 'S5')","['S11', 'S12', 'S7']"
0.85,"['S5', 'S6', 'S4']","('S4', 'S6', 'S5')","['S11', 'S12', 'S7']"
0.9,"['S5', 'S6', 'S4']","('S4', 'S6', 'S5')","['S11', 'S12', 'S7']"
