157.56.192.53-10.8.8.130-443-33104-6,packet_id: 1,delay: 0.46216392517089844
157.56.192.53-10.8.8.130-443-33104-6,packet_id: 2,delay: 0.4839787483215332
173.194.67.16-10.8.8.234-465-37826-6,packet_id: 1,delay: 0.3773937225341797
173.194.67.16-10.8.8.234-465-37857-6,packet_id: 1,delay: 0.27585482597351074
173.194.67.16-10.8.8.234-465-37860-6,packet_id: 1,delay: 0.36693310737609863
173.194.67.16-10.8.8.234-465-37865-6,packet_id: 1,delay: 0.36635804176330566
173.194.67.16-10.8.8.234-465-37872-6,packet_id: 1,delay: 0.3692443370819092
137.117.177.33-10.8.8.178-443-40028-6,packet_id: 1,delay: 0.2703437805175781
10.0.2.15-24.140.134.21-45746-45411-6,packet_id: 1,delay: 0.48491978645324707
137.116.32.77-10.0.2.15-443-34727-6,packet_id: 1,delay: 0.761145830154419
10.8.8.138-24.156.130.203-55782-80-6,packet_id: 1,delay: 0.15968775749206543
10.8.8.138-24.156.130.203-55782-80-6,packet_id: 2,delay: 0.15737128257751465
10.8.8.138-24.156.130.203-55782-80-6,packet_id: 3,delay: 0.17087602615356445
10.8.8.138-24.156.130.203-55782-80-6,packet_id: 4,delay: 0.16011643409729004
10.8.8.130-2.30.116.54-48835-58139-6,packet_id: 1,delay: 0.38143301010131836
10.8.8.130-2.30.116.54-48835-58139-6,packet_id: 2,delay: 0.37442803382873535
10.8.8.130-2.30.116.54-48835-58139-6,packet_id: 3,delay: 0.38300323486328125
10.0.2.15-64.233.183.16-43558-993-6,packet_id: 1,delay: 0.5467672348022461
10.0.2.15-64.233.183.16-43558-993-6,packet_id: 2,delay: 0.6488752365112305
10.8.8.178-2.30.116.54-43020-58139-6,packet_id: 1,delay: 0.3216712474822998
10.8.8.178-2.30.116.54-43020-58139-6,packet_id: 2,delay: 0.3199424743652344
10.8.8.178-2.30.116.54-43020-58139-6,packet_id: 3,delay: 0.3168492317199707
10.8.8.178-2.30.116.54-43020-58139-6,packet_id: 4,delay: 0.3021407127380371
