CS,TINIEE_sol,DINC_sol,RANDOM_sol
0.55,"['S6', 'S9', 'S10']","('S10', 'S9', 'S6')","['S5', 'S6', 'S3']"
0.6,"['S6', 'S9', 'S10']","('S10', 'S9', 'S6')","['S5', 'S6', 'S3']"
0.65,"['S6', 'S9', 'S10']","('S10', 'S9', 'S6')","['S5', 'S6', 'S3']"
0.7,"['S6', 'S9', 'S10']","('S10', 'S9', 'S6')","['S5', 'S6', 'S3']"
0.75,"['S6', 'S9', 'S10']","('S10', 'S9', 'S6')","['S5', 'S6', 'S3']"
0.8,"['S6', 'S9', 'S10']","('S10', 'S9', 'S6')","['S5', 'S6', 'S3']"
0.85,"['S6', 'S9', 'S10']","('S10', 'S9', 'S6')","['S5', 'S6', 'S3']"
0.9,"['S6', 'S9', 'S10']","('S10', 'S9', 'S6')","['S5', 'S6', 'S3']"
